0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:03 +0800] "GET /SalonManagement/css/bartstable.css HTTP/1.1" 200 17354
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:04 +0800] "GET /SalonManagement/css/dropify.min.css HTTP/1.1" 200 9867
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:04 +0800] "GET /SalonManagement/css/sweetalert.css HTTP/1.1" 200 23811
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:04 +0800] "GET /SalonManagement/css/mainloader.css HTTP/1.1" 200 10278
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:04 +0800] "GET /SalonManagement/css/materialize.clockpicker.css HTTP/1.1" 200 127483
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:04 +0800] "GET /SalonManagement/css/animate.css HTTP/1.1" 200 75599
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:04 +0800] "GET /SalonManagement/css/fullcalendar.css HTTP/1.1" 200 26662
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:04 +0800] "GET /SalonManagement/css/baselayout.css HTTP/1.1" 200 11932
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:04 +0800] "GET /SalonManagement/css/xcharts.min.css HTTP/1.1" 200 4104
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:04 +0800] "GET /SalonManagement/css/perfect-scrollbar.min.css HTTP/1.1" 200 4691
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:04 +0800] "GET /SalonManagement/css/material.min.css HTTP/1.1" 200 140015
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:04 +0800] "GET /SalonManagement/css/angular-validation.css HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:04 +0800] "GET /SalonManagement/css/nouislider.min.css HTTP/1.1" 200 3557
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:04 +0800] "GET /SalonManagement/css/nouislider.tooltips.css HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:04 +0800] "GET /SalonManagement/css/nouislider.pips.css HTTP/1.1" 200 1404
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:04 +0800] "GET /SalonManagement/js/jquery-2.1.1.min.js HTTP/1.1" 200 84247
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:06:04 +0800] "GET /SalonManagement/js/materialize.js HTTP/1.1" 200 285475
